id	booktitle	filmtitle	winner	goodreads	imdb	metacritic	stevecount	crewcount
tt0462335	High-Rise	High-Rise	book	3.61	5.5	65	9	489
tt0164993	Alice's Adventures in Wonderland and Through the Looking Glass	Alice in Wonderland	book	4.06	6.3	NaN	3	261
tt1334260	Never Let Me Go	Never Let Me Go	book	3.85	7.1	69	11	370
tt0288441	Nutcracker and Mouse King / The Tale of the Nutcracker	Barbie in the Nutcracker	book	3.9	6.3	NaN	2	205
tt0398808	Bridge to Terabithia	Bridge to Terabithia	book	4.05	7.2	74	12	511
tt0074285	Carrie	Carrie	book	3.99	7.4	86	2	102
tt0059800	Thunderball (James Bond, #9)	Thunderball	book	3.83	6.9	64	1	219
tt1289403	The Guernsey Literary and Potato Peel Pie Society	The Guernsey Literary and Potato Peel Pie Society	book	4.19	7.3	65	11	493
tt11727866	Catherine, Called Birdy	Catherine Called Birdy	book	3.74	6.6	74	3	309
tt1482459	The Lorax	The Lorax	book	4.35	6.4	46	10	542
tt0088814	The Book of Three (The Chronicles of Prydain, #1)	The Black Cauldron	book	3.98	6.3	59	10	466
tt0084237	The Last Unicorn (The Last Unicorn, #1)	The Last Unicorn	book	4.18	7.3	70	0	68
tt0070608	The Merry Adventures of Robin Hood	Robin Hood	book	4.07	7.5	57	1	162
tt0409459	Watchmen	Watchmen	book	4.38	7.6	56	29	1426
tt0241303	Chocolat (Chocolat, #1)	Chocolat	book	3.96	7.2	64	13	470
tt3402236	Murder on the Orient Express (Hercule Poirot, #10)	Murder on the Orient Express	book	4.2	6.5	52	19	1173
tt0108333	The Three Musketeers	The Three Musketeers	book	4.09	6.4	43	9	340
tt3411444	The Story of Ferdinand	Ferdinand	book	4.37	6.7	58	11	658
tt0091867	A Room with a View	A Room with a View	book	3.9	7.2	83	2	159
tt1340800	Tinker, Tailor, Soldier, Spy (George Smiley, #5; Karla Trilogy, #1)	Tinker Tailor Soldier Spy	book	4.06	7	85	8	728
tt0061852	The Jungle Book	The Jungle Book	book	3.9	7.6	65	0	164
tt1731141	Ender’s Game (Ender's Saga, #1)	Ender's Game	book	4.31	6.6	51	22	1107
tt0107943	The Remains of the Day	The Remains of the Day	book	4.14	7.8	86	3	144
tt0088134	Slapstick, or Lonesome No More!	Slapstick of Another Kind	book	3.86	2.5	NaN	7	161
tt0480249	I Am Legend	I Am Legend	book	4.06	7.2	65	27	1727
tt0068646	The Godfather (The Godfather, #1)	The Godfather	book	4.39	9.2	100	6	248
tt0170016	How the Grinch Stole Christmas!	How the Grinch Stole Christmas	book	4.38	6.3	46	16	921
tt0765458	Hogfather (Discworld, #20)	Hogfather	book	4.25	7.4	NaN	13	355
tt0981227	Nick & Norah's Infinite Playlist	Nick and Norah's Infinite Playlist	book	3.69	6.6	64	2	310
tt1160419	Dune (Dune, #1)	Dune	book	4.27	8	74	16	1630
tt0100944	The Witches	The Witches	book	4.18	6.8	78	5	162
tt1343092	The Great Gatsby	The Great Gatsby	book	3.93	7.2	55	29	1586
tt1951265	Mockingjay (The Hunger Games, #3)	The Hunger Games: Mockingjay - Part 1	movie	4.09	6.6	64	28	2207
tt1951266	Mockingjay (The Hunger Games, #3)	The Hunger Games: Mockingjay - Part 2	book	4.09	6.5	65	40	3343
tt1951264	Catching Fire (The Hunger Games, #2)	The Hunger Games: Catching Fire	book	4.33	7.5	76	34	2004
tt0099327	Hatchet (Brian's Saga, #1)	A Cry in the Wild	book	3.78	5.8	NaN	1	88
tt1392170	The Hunger Games (The Hunger Games, #1)	The Hunger Games	book	4.34	7.2	68	34	1829
tt1129396	Radio Free Albemuth	Radio Free Albemuth	book	3.81	5.6	35	5	211
tt0088323	The Neverending Story	The NeverEnding Story	book	4.18	7.3	46	4	287
tt0069293	Solaris	Solaris	book	3.99	8	93	0	57
tt0414387	Pride and Prejudice	Pride & Prejudice	book	4.29	7.8	82	12	437
tt0064806	The Phantom Tollbooth	The Phantom Tollbooth	book	4.2	6.7	NaN	1	74
tt0338348	The Polar Express	The Polar Express	book	4.32	6.6	61	24	879
tt0081505	The Shining	The Shining	book	4.27	8.4	68	3	167
tt0963965	Dolan's Cadillac	Dolan's Cadillac	book	3.89	5.6	NaN	9	321
tt1099212	Twilight (The Twilight Saga, #1)	Twilight	book	3.65	5.3	56	20	771
