Episode	Movie	Michelle	Abigail
92	The Fog	2.5	3.5
93	The Wicker Man	6.3	5.9
94	Extreme Movie	0.5	5.1
95	Street Fighter: The Legend of Chun-Li	2.7	2.5
96	Piranha 3DD	1.9	2.5
97	Recep Ivedik 4	2	2
98	Exorcist II: The Heretic	3.6	3
99	Caddyshack II	2	3.5
100	Double Dragon	4.4	4
101	The Avengers	2.4	3.2
102	The Adventures of Pluto Nash	3.5	3.5
103	In The Name Of The King: A Dungeon Siege Tale	4.1	3.1
104	Furry Vengeance	5.2	4.5
105	The Love Guru	4.8	4
106	Beverly Hills Chihuahua	4.8	6
107	Holmes & Watson	3.4	3.1
108	The Human Centipede II	NaN	NaN
109	The Canyons	0	0
110	Escape Plan 2: Hades	3.8	4.2
111	Singularity	2.7	2.7
112	Speed 2: Cruise Control	2.5	1.8
113	Book of Shadows: Blair Witch 2	4.5	5.1
114	The Cat In The Hat	6	10
115	You Got Served	6	5.5
116	Prom Night	3.9	3.7
117	Guardians	3.5	3.2
118	Jeepers Creepers III	0	2
119	11-11-11	0	0
120	Plan 9 From Outer Space	6	6
121	Street Fighter	4.9	6.5
122	Mr. Magoo	1	1
123	Halloween: Resurrection	3	2.4
124	Material Girls	3.3	1
125	One Missed Call	4	NaN
126	Recep Ivedik 3	1	NaN
127	Shark Night 3D	3.2	4.5
128	The Last Exorcism 2	1.5	0
129	Tubelight	1	1.5
130	Wounds	2.8	1.3
131	Robocop 3	6	6
132	Super Mario Bros.	6	5.5
133	Beowulf	4	5.5
134	The Adventures of Rocky & Bullwinkle	5	5.5
135	Inspector Gadget	4.1	4.1
136	Torque	5	5.5
137	Norbit	1	1
138	The Last Airbender	3.2	3.2
139	Zombie Strippers!	0.2	0
140	The Apparition	0	0
141	Fifty Shades of Grey	3.9	3
142	Devil's Due	2.8	0
143	Enes Batur	NaN	NaN
144	Thugs of Hindostan	7.2	7.5
145	Artemis Fowl	5.8	3.8
146	Jason Goes To Hell: The Final Friday	2.6	4.5
147	The Patriot	1	1
148	Thunderbirds	3.6	4
149	Universal Soldier: The Return	3.1	3.5
150	A Sound of Thunder	5.3	7
151	Boogeyman	6	5.5
152	Are We There Yet?	5.5	3.5
153	The Legend of Hercules	4.3	7
154	Recep Ivedik 2	1.7	1.5
155	Area 51	-0.2	0
156	The Devil Inside	0	1
157	A Wrinkle In Time	7.5	6.9
158	Vice (2015)	2.4	3.6
